is_infectious,name,type,properties
true,Influenza,Viral,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Pneumonia', 'Bronchitis', 'Dehydration'], 'curative_drugs': [1, 2, 3], 'risk_factors': ['Smoking', 'Obesity', 'Weakened immune system'], 'symptoms': [{'description': 'Persistent cough', 'duration': '1 week', 'name': 'Cough', 'severity': 'Moderate', 'type': 'Respiratory'}, {'description': 'High body temperature', 'duration': '5 days', 'name': 'Fever', 'severity': 'High', 'type': 'General'}]}"
true,Bacterial Meningitis,Bacterial,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Sepsis', 'Hearing loss', 'Brain damage'], 'curative_drugs': [4, 5, 6], 'risk_factors': ['Crowded living conditions', 'Age (very young or old)', 'Weakened immune system'], 'symptoms': [{'description': 'Severe headache', 'duration': '3 days', 'name': 'Headache', 'severity': 'Severe', 'type': 'Neurological'}, {'description': 'Stiff neck', 'duration': '2 days', 'name': 'Stiff Neck', 'severity': 'High', 'type': 'Musculoskeletal'}]}"
false,Diabetes Mellitus,Metabolic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Kidney failure', 'Nerve damage', 'Vision problems'], 'curative_drugs': [7, 8, 9], 'risk_factors': ['Obesity', 'Sedentary lifestyle', 'Genetic factors'], 'symptoms': [{'description': 'Increased thirst', 'duration': 'Chronic', 'name': 'Increased Thirst', 'severity': 'Moderate', 'type': 'General'}, {'description': 'Fatigue', 'duration': 'Chronic', 'name': 'Fatigue', 'severity': 'Mild', 'type': 'General'}]}"
true,Tuberculosis,Bacterial,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Pneumonia', 'Lung scarring', 'Miliary TB'], 'curative_drugs': [10, 11, 12], 'risk_factors': ['Smoking', 'HIV infection', 'Malnutrition'], 'symptoms': [{'description': 'Persistent cough', 'duration': '8 weeks', 'name': 'Persistent Cough', 'severity': 'Moderate', 'type': 'Respiratory'}, {'description': 'Night sweats', 'duration': '6 weeks', 'name': 'Night Sweats', 'severity': 'Mild', 'type': 'General'}]}"
true,COVID-19,Viral,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Acute respiratory distress', 'Blood clots', 'Organ failure'], 'curative_drugs': [13, 14, 15], 'risk_factors': ['Age (elderly)', 'Obesity', 'Chronic diseases'], 'symptoms': [{'description': 'Fever', 'duration': '10 days', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Shortness of breath', 'duration': '7 days', 'name': 'Shortness of Breath', 'severity': 'Severe', 'type': 'Respiratory'}]}"
false,Hypertension,Chronic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Heart attack', 'Stroke', 'Kidney disease'], 'curative_drugs': [16, 17, 18], 'risk_factors': ['High salt intake', 'Obesity', 'Sedentary lifestyle'], 'symptoms': [{'description': 'Headache', 'duration': 'Variable', 'name': 'Headache', 'severity': 'Mild', 'type': 'Neurological'}, {'description': 'Dizziness', 'duration': 'Variable', 'name': 'Dizziness', 'severity': 'Moderate', 'type': 'Neurological'}]}"
true,Strep Throat,Bacterial,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Rheumatic fever', 'Kidney inflammation'], 'curative_drugs': [19, 20, 21], 'risk_factors': ['Close contact', 'Weakened immune system', 'Age (children)'], 'symptoms': [{'description': 'Sore throat', 'duration': '1 week', 'name': 'Sore Throat', 'severity': 'Moderate', 'type': 'Throat'}, {'description': 'Swollen lymph nodes', 'duration': '1 week', 'name': 'Swollen Lymph Nodes', 'severity': 'Mild', 'type': 'Lymphatic'}]}"
true,Ebola Virus Disease,Viral,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Hemorrhagic fever', 'Multi-organ failure', 'Shock'], 'curative_drugs': [22, 23, 24], 'risk_factors': ['Direct contact with infected fluids', 'Poor sanitation', 'Healthcare exposure'], 'symptoms': [{'description': 'Fever', 'duration': '2 weeks', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Vomiting', 'duration': '1 week', 'name': 'Vomiting', 'severity': 'Severe', 'type': 'Gastrointestinal'}]}"
false,Osteoporosis,Chronic,"{'affected_age_groups': ['Elderly', 'Postmenopausal women'], 'complications': ['Bone fractures', 'Chronic pain', 'Reduced mobility'], 'curative_drugs': [25, 26, 27], 'risk_factors': ['Age', 'Gender (female)', 'Low calcium intake'], 'symptoms': [{'description': 'Back pain', 'duration': 'Chronic', 'name': 'Back Pain', 'severity': 'Mild', 'type': 'Musculoskeletal'}, {'description': 'Fragile bones', 'duration': 'Chronic', 'name': 'Fragile Bones', 'severity': 'Severe', 'type': 'Skeletal'}]}"
true,Malaria,Parasitic,"{'affected_age_groups': ['Children', 'Adults', 'Pregnant women'], 'complications': ['Severe anemia', 'Cerebral malaria', 'Organ failure'], 'curative_drugs': [28, 29, 30], 'risk_factors': ['Travel to endemic areas', 'Mosquito exposure', 'Lack of prophylaxis'], 'symptoms': [{'description': 'Fever', 'duration': '2 weeks', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Chills', 'duration': '2 weeks', 'name': 'Chills', 'severity': 'Moderate', 'type': 'General'}]}"
