approval_number,approval_status,atc_code,name,prescription,properties,type
PARA-001,approved,N02BE01,Paracetamol,False,"{'active_ingredients': [{'name': 'Paracetamol', 'risk_level': 1}, {'name': 'Common Additive', 'risk_level': 4}], 'dosage_form': {'description': 'Syrup'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 5}, {'name': 'Silicon Dioxide', 'risk_level': 1}, {'name': 'Starch', 'risk_level': 4}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Nausea', 'Diarrhea', 'Fatigue'], 'strength': {'description': '864 mg per dose'}}",Analgesic
IBUP-002,rejected,M01AE01,Ibuprofen,False,"{'active_ingredients': [{'name': 'Ibuprofen', 'risk_level': 5}, {'name': 'Common Additive', 'risk_level': 5}], 'dosage_form': {'description': 'Syrup'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 4}, {'name': 'Silicon Dioxide', 'risk_level': 1}, {'name': 'Starch', 'risk_level': 4}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Dizziness', 'Dry mouth'], 'strength': {'description': '153 mg per dose'}}",NSAID
ASPI-003,rejected,B01AC06,Aspirin,False,"{'active_ingredients': [{'name': 'Aspirin', 'risk_level': 3}, {'name': 'Common Additive', 'risk_level': 3}], 'dosage_form': {'description': 'Injection'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 4}, {'name': 'Silicon Dioxide', 'risk_level': 2}, {'name': 'Starch', 'risk_level': 2}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Dizziness', 'Diarrhea', 'Nausea'], 'strength': {'description': '915 mg per dose'}}",Antiplatelet
AMOX-004,rejected,J01CA04,Amoxicillin,False,"{'active_ingredients': [{'name': 'Amoxicillin', 'risk_level': 4}, {'name': 'Common Additive', 'risk_level': 4}], 'dosage_form': {'description': 'Injection'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 4}, {'name': 'Silicon Dioxide', 'risk_level': 4}, {'name': 'Starch', 'risk_level': 1}], 'prescription': {'description': 'Required'}, 'side_effects': ['Diarrhea', 'Dizziness'], 'strength': {'description': '868 mg per dose'}}",Antibiotic
CIPR-005,pending,J01MA02,Ciprofloxacin,True,"{'active_ingredients': [{'name': 'Ciprofloxacin', 'risk_level': 1}, {'name': 'Common Additive', 'risk_level': 3}], 'dosage_form': {'description': 'Capsule'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 3}, {'name': 'Silicon Dioxide', 'risk_level': 4}, {'name': 'Starch', 'risk_level': 5}], 'prescription': {'description': 'Required'}, 'side_effects': ['Nausea', 'Dizziness', 'Headache', 'Fatigue'], 'strength': {'description': '851 mg per dose'}}",Antibiotic
METF-006,rejected,A10BA02,Metformin,False,"{'active_ingredients': [{'name': 'Metformin', 'risk_level': 4}, {'name': 'Common Additive', 'risk_level': 4}], 'dosage_form': {'description': 'Tablet'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 1}, {'name': 'Silicon Dioxide', 'risk_level': 1}, {'name': 'Starch', 'risk_level': 1}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Diarrhea', 'Dizziness'], 'strength': {'description': '950 mg per dose'}}",Antidiabetic
LOSA-007,pending,C09CA01,Losartan,False,"{'active_ingredients': [{'name': 'Losartan', 'risk_level': 2}, {'name': 'Common Additive', 'risk_level': 4}], 'dosage_form': {'description': 'Syrup'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 5}, {'name': 'Silicon Dioxide', 'risk_level': 4}, {'name': 'Starch', 'risk_level': 3}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Diarrhea', 'Dry mouth'], 'strength': {'description': '647 mg per dose'}}",Antihypertensive
OMEP-008,rejected,A02BC01,Omeprazole,False,"{'active_ingredients': [{'name': 'Omeprazole', 'risk_level': 4}, {'name': 'Common Additive', 'risk_level': 3}], 'dosage_form': {'description': 'Injection'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 1}, {'name': 'Silicon Dioxide', 'risk_level': 4}, {'name': 'Starch', 'risk_level': 5}], 'prescription': {'description': 'Required'}, 'side_effects': ['Diarrhea', 'Fatigue'], 'strength': {'description': '96 mg per dose'}}",Antiulcer
SIMV-009,rejected,C10AA01,Simvastatin,True,"{'active_ingredients': [{'name': 'Simvastatin', 'risk_level': 1}, {'name': 'Common Additive', 'risk_level': 4}], 'dosage_form': {'description': 'Syrup'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 5}, {'name': 'Silicon Dioxide', 'risk_level': 3}, {'name': 'Starch', 'risk_level': 2}], 'prescription': {'description': 'Optional'}, 'side_effects': ['Dry mouth', 'Headache', 'Fatigue'], 'strength': {'description': '443 mg per dose'}}",Lipid-Lowering Agent
ATOR-010,approved,C10AA05,Atorvastatin,True,"{'active_ingredients': [{'name': 'Atorvastatin', 'risk_level': 1}, {'name': 'Common Additive', 'risk_level': 1}], 'dosage_form': {'description': 'Tablet'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 5}, {'name': 'Silicon Dioxide', 'risk_level': 5}, {'name': 'Starch', 'risk_level': 5}], 'prescription': {'description': 'Required'}, 'side_effects': ['Headache', 'Dizziness', 'Diarrhea'], 'strength': {'description': '447 mg per dose'}}",Lipid-Lowering Agent
CLOP-011,pending,B01AC04,Clopidogrel,False,"{'active_ingredients': [{'name': 'Clopidogrel', 'risk_level': 4}, {'name': 'Common Additive', 'risk_level': 1}], 'dosage_form': {'description': 'Capsule'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 5}, {'name': 'Silicon Dioxide', 'risk_level': 4}, {'name': 'Starch', 'risk_level': 2}], 'prescription': {'description': 'Required'}, 'side_effects': ['Fatigue', 'Diarrhea', 'Dizziness', 'Nausea'], 'strength': {'description': '64 mg per dose'}}",Antiplatelet
WARF-012,pending,B01AA03,Warfarin,True,"{'active_ingredients': [{'name': 'Warfarin', 'risk_level': 4}, {'name': 'Common Additive', 'risk_level': 5}], 'dosage_form': {'description': 'Tablet'}, 'inactive_ingredients': [{'name': 'Magnesium Stearate', 'risk_level': 4}, {'name': 'Silicon Dioxide', 'risk_level': 5}, {'name': 'Starch', 'risk_level': 2}], 'prescription': {'description': 'Required'}, 'side_effects': ['Diarrhea', 'Headache', 'Fatigue', 'Dizziness'], 'strength': {'description': '366 mg per dose'}}",Anticoagulant
