contact_details,country,name,type,properties
contact@healthfirstclinic.com,USA,HealthFirst Clinic,Clinic,"{'license': {'license_key': 'HFCL-001', 'license_name': 'HealthFirst General License'}}"
info@sunrisehospital.co.uk,United Kingdom,Sunrise Hospital,Hospital,"{'license': {'license_key': 'SRH-002', 'license_name': 'Sunrise Healthcare License'}}"
contact@wellnesspharmacy.ca,Canada,Wellness Pharmacy,Pharmacy,"{'license': {'license_key': 'WLP-003', 'license_name': 'Wellness Pharmacy License'}}"
support@citymedclinic.au,Australia,CityMed Clinic,Clinic,"{'license': {'license_key': 'CMC-004', 'license_name': 'CityMed Medical License'}}"
info@greenhealthcentre.de,Germany,Green Health Centre,Clinic,"{'license': {'license_key': 'GHC-005', 'license_name': 'Green Health Centre License'}}"
contact@riverdalehospital.fr,France,Riverdale Hospital,Hospital,"{'license': {'license_key': 'RDH-006', 'license_name': 'Riverdale Hospital License'}}"
support@healthplusclinic.it,Italy,HealthPlus Clinic,Clinic,"{'license': {'license_key': 'HPC-007', 'license_name': 'HealthPlus Clinical License'}}"
info@northstarpharmacy.nl,Netherlands,NorthStar Pharmacy,Pharmacy,"{'license': {'license_key': 'NSP-008', 'license_name': 'NorthStar Pharmacy License'}}"
contact@medicenter.se,Sweden,Medicenter Clinic,Clinic,"{'license': {'license_key': 'MDC-009', 'license_name': 'Medicenter Medical License'}}"
support@sunmedhospital.es,Spain,SunMed Hospital,Hospital,"{'license': {'license_key': 'SMH-010', 'license_name': 'SunMed Hospital License'}}"
info@bluecrossclinic.be,Belgium,BlueCross Clinic,Clinic,"{'license': {'license_key': 'BCC-011', 'license_name': 'BlueCross Clinical License'}}"
contact@primepharmacy.ch,Switzerland,Prime Pharmacy,Pharmacy,"{'license': {'license_key': 'PPH-012', 'license_name': 'Prime Pharmacy License'}}"
support@metrohealthclinic.jp,Japan,MetroHealth Clinic,Clinic,"{'license': {'license_key': 'MHC-013', 'license_name': 'MetroHealth Clinical License'}}"
info@lakesidehospital.no,Norway,Lakeside Hospital,Hospital,"{'license': {'license_key': 'LSH-014', 'license_name': 'Lakeside Hospital License'}}"
contact@oakpharmacy.ie,Ireland,Oak Pharmacy,Pharmacy,"{'license': {'license_key': 'OAK-015', 'license_name': 'Oak Pharmacy License'}}"
support@sunshineclinic.nz,New Zealand,Sunshine Clinic,Clinic,"{'license': {'license_key': 'SSC-016', 'license_name': 'Sunshine Clinical License'}}"
info@riverbankhospital.dk,Denmark,Riverbank Hospital,Hospital,"{'license': {'license_key': 'RBH-017', 'license_name': 'Riverbank Hospital License'}}"
contact@healthguardpharmacy.be,Belgium,HealthGuard Pharmacy,Pharmacy,"{'license': {'license_key': 'HGP-018', 'license_name': 'HealthGuard Pharmacy License'}}"
support@cityhealthclinic.us,USA,CityHealth Clinic,Clinic,"{'license': {'license_key': 'CHC-019', 'license_name': 'CityHealth Clinical License'}}"
info@mountainviewhospital.at,Austria,MountainView Hospital,Hospital,"{'license': {'license_key': 'MVH-020', 'license_name': 'MountainView Hospital License'}}"
